source_list,action,scope,ingredient,cas,usage,criteria,source_code,source_version,source_date
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Dimoxistrobina,149961-52-4,Fun,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Dinocap,39300-45-3,Fun,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Dinoterb,1420-07-1,H,Toxicidad aguda: 1B; Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Difacinona,82-66-6,R,Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Disulfotón,298-04-4,"I, A",Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,DNOC y sus sales,,Fun,Toxicidad aguda: 1B; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,"Fórmula en polvo dispersable. que contiene una combinación de: benomilo ≥7%, carbofurano ≥10%, tiram ≥15%.",,"I, A",Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,E-fosfamidón,297-99-4,"I, A",Toxicidad aguda: 1A; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Edifenfos,17109-49-8,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Endosulfán; alfa-endosulfán; beta endosulfán*,115-29-7,"I, A","Convenciones internacionales: R, E",SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Endosulfán; alfa-endosulfán; beta endosulfán*,959-98-8,"I, A","Convenciones internacionales: R, E",SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Endosulfán; alfa-endosulfán; beta endosulfán*,33213-65-9,"I, A","Convenciones internacionales: R, E",SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Epiclorhidrina,106-89-8,"I, A",Carcinogenicidad: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,EPN 300,2104-64-5,"I, A",Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Epoxiconazol,133855-98-8,Fun,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Etiofencarb,29973-13-5,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Etoprofós; etoprop,13194-48-4,"N, I, A",Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,"Dibromuro de etileno; 1,2-dibrometano",106-93-4,Fum,Carcinogenicidad: ✓; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,"Dicloruro de etileno; 1,2-dicloroetano",107-06-2,Fum,Carcinogenicidad: ✓; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Óxido de etileno,75-21-8,Fum,Carcinogenicidad: ✓; Mutagenicidad: ✓; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Etileno tiourea,96-45-7,Otro,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Famfur,52-85-7,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Fenamifos,22224-92-6,"N, I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Fentión,55-38-9,"I, A",Toxicidad aguda: 1B; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Fenclorazol-etilo,103112-35-2,H,Carcinogenicidad: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Acetato de fentina,900-95-8,Fun,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Hidróxido de fentina,76-87-9,Fun,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Fipronil,120068-37-3,"I, A",Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Flocumafén,90035-08-8,R,Toxicidad aguda: 1A; Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Fluazifop-butilo,69806-50-4,H,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Flucitrinato,70124-77-5,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Fluoroacetamida,640-19-7,"I, A",Toxicidad aguda: 1B; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Flusilazol,85509-19-9,Fun,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Formetanato,22259-30-9,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Furatiocarb,65907-30-4,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Sales e isómeros de glufosinato de amonio,,H,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Heptenofós,23560-59-0,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Hexaclorobenceno,118-74-1,Fun,"Toxicidad aguda: 1A; Carcinogenicidad: ✓; Convenciones internacionales: R, E",SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Hexaclorociclohexano; Isómeros mixtos de HCH,608-73-1,"I, A",Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Cianuro de hidrógeno,74-90-8,Fum,Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Imidacloprid,138261-41-3,"I, A",Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Iprodiona,36734-19-7,Fun,Carcinogenicidad: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Isoxatión,18854-01-8,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
