source_list,action,scope,ingredient,cas,usage,criteria,source_code,source_version,source_date
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Haloxifop-P,95977-29-0,H,EPP; Riesgo acuático; Polinizadores; Espectador,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Hexazinona,51235-04-2,H,EPP; Riesgo acuático; Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,"Indoxacarb, S-isómero",173584-44-6,"I, A",Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,"Yodosulfurón metilo, sal de sodio",144550-36-7,H,Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Isoxabeno,82558-50-7,H,Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Lenacil,2164-08-1,H,Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Cal-azufre,1344-81-6,"I, A",EPP; Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Lufenurón,103055-07-8,"I, A",Riesgo acuático; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Malatión,121-75-5,"I, A",EPP; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Hidrazida maléica,123-33-1,H,Polinizadores; Espectador,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,"Hidrazida maleica, sal de potasio",28382-15-2,H,Polinizadores; Espectador,A-07-SCRL-B-FA,1.4,
